                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2827,                0.79805,                 1.6997,                0.96646,                0.91473,                0.96332,                0.62565,                 1.3229,                 0.6943,                 1.7621,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.2819,                0.79637,                 1.6959,                0.97003,                0.92473,                0.97077,                0.64244,                 1.2888,                0.66398,                 1.7405,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.2813,                0.80433,                 1.6926,                0.95398,                0.94286,                0.97395,                0.62245,                 1.3236,                  0.677,                 1.7533,               0.001538,               0.001538,               0.001538
                     38,                 1.2725,                0.77143,                 1.6916,                0.95484,                0.93651,                0.96849,                0.62405,                 1.2939,                0.65662,                 1.7129,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.2702,                0.78541,                 1.6881,                 0.9696,                0.91134,                0.96515,                0.63243,                  1.256,                0.60619,                 1.7104,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.2576,                  0.776,                 1.6797,                0.95657,                0.93651,                0.97079,                0.65781,                 1.2029,                0.60315,                 1.6815,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.2581,                0.76602,                 1.6871,                0.97161,                0.93651,                0.97342,                0.63063,                 1.2934,                0.63091,                 1.7168,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.2416,                0.76956,                 1.6666,                0.95728,                0.92467,                0.96951,                0.66686,                 1.1877,                0.62495,                 1.6489,               0.001472,               0.001472,               0.001472
                     43,                  1.274,                0.77025,                 1.6907,                0.94759,                0.93651,                0.96868,                0.62521,                 1.2987,                0.63066,                 1.7125,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.2465,                0.75935,                 1.6745,                0.95665,                0.93968,                0.96972,                0.62519,                 1.2803,                0.63143,                 1.7332,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.2547,                0.75754,                   1.68,                0.96565,                0.94286,                 0.9721,                0.65779,                 1.2051,                0.60317,                 1.6713,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.2364,                0.74812,                 1.6603,                0.96692,                0.94603,                0.97419,                0.67125,                 1.1715,                0.58915,                 1.6463,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.2452,                0.74876,                 1.6731,                 0.9738,                0.92698,                0.97208,                0.64887,                 1.2518,                0.62055,                 1.6865,               0.001406,               0.001406,               0.001406
                     48,                 1.2442,                0.74996,                 1.6618,                0.97314,                0.92698,                0.96709,                0.66096,                 1.1804,                 0.5912,                  1.632,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.2298,                0.73497,                  1.647,                0.97074,                0.94775,                0.97475,                0.65873,                 1.2547,                0.60593,                 1.7175,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.2433,                 0.7482,                 1.6614,                0.97984,                0.92576,                0.97373,                0.64347,                 1.2362,                0.59514,                 1.6608,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.2339,                0.73225,                 1.6576,                0.96397,                0.93016,                0.97197,                0.63463,                 1.2723,                0.60768,                  1.698,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.2187,                0.72091,                 1.6413,                0.94588,                0.93651,                0.97475,                0.66309,                 1.1934,                0.58564,                 1.6654,                0.00134,                0.00134,                0.00134
                     53,                 1.2318,                0.72797,                 1.6508,                0.97194,                0.93333,                 0.9741,                0.64557,                 1.2658,                0.58495,                 1.6709,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.2167,                0.72008,                 1.6336,                0.96599,                0.94603,                0.97891,                0.63789,                 1.2808,                0.61211,                 1.6869,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.2087,                0.71824,                 1.6277,                0.97731,                0.93651,                0.97247,                0.63924,                 1.2604,                0.57825,                 1.6917,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.2137,                0.71348,                 1.6253,                0.96402,                 0.9357,                 0.9727,                0.63938,                 1.2676,                0.59393,                 1.6824,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.2077,                0.71426,                 1.6385,                0.97058,                0.94246,                0.97617,                 0.6765,                 1.1601,                0.55979,                 1.6211,               0.001274,               0.001274,               0.001274
                     58,                 1.2021,                0.71238,                 1.6194,                0.97952,                0.93968,                0.97574,                0.65785,                 1.2189,                0.57016,                 1.6566,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.2009,                0.71851,                  1.627,                0.96773,                0.95201,                0.98058,                0.67976,                 1.1655,                0.55405,                  1.646,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.1957,                0.70544,                 1.6058,                0.97707,                0.92698,                0.97399,                0.64747,                 1.2709,                0.58523,                 1.6971,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.2047,                0.69282,                 1.6169,                0.95849,                0.94921,                0.97353,                0.67248,                 1.2066,                0.57384,                 1.6599,              0.0012212,              0.0012212,              0.0012212
                     62,                  1.193,                0.71041,                 1.6087,                0.95679,                0.95238,                0.97164,                0.64951,                 1.2347,                0.57536,                 1.6633,               0.001208,               0.001208,               0.001208
                     63,                 1.1866,                0.68629,                 1.6069,                0.96759,                0.94765,                0.97269,                0.67545,                 1.1869,                0.55869,                 1.6464,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.1812,                 0.6852,                 1.5989,                0.94386,                0.96081,                0.97272,                0.66399,                 1.2192,                 0.5489,                 1.6739,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.1688,                0.67092,                 1.5893,                0.96136,                0.94776,                0.97415,                0.66212,                 1.2299,                0.53512,                 1.6884,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.1877,                0.68689,                 1.6074,                0.97412,                0.94921,                 0.9785,                0.66462,                 1.2166,                0.52629,                  1.653,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.1798,                0.69083,                 1.5991,                0.97151,                0.93651,                0.97502,                0.65655,                 1.2165,                0.54263,                 1.6521,               0.001142,               0.001142,               0.001142
                     68,                 1.1642,                0.66033,                 1.5769,                0.95436,                0.92944,                0.97485,                0.66779,                 1.1931,                0.54391,                 1.6345,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.1709,                0.67815,                 1.5904,                0.97052,                 0.9405,                0.97406,                 0.6549,                 1.2232,                0.54038,                 1.6747,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.1688,                0.66989,                  1.591,                0.97053,                0.94079,                0.97525,                0.68155,                 1.1928,                0.53785,                 1.6799,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.1498,                0.65077,                 1.5732,                 0.9553,                0.94984,                0.96752,                0.66089,                 1.2382,                0.55961,                 1.7022,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.1562,                0.65932,                 1.5813,                0.95229,                0.95038,                0.97585,                0.66113,                 1.2685,                0.57732,                 1.6888,               0.001076,               0.001076,               0.001076
                     73,                 1.1619,                0.65269,                 1.5842,                0.97353,                0.93968,                0.97574,                0.67194,                 1.1953,                0.55689,                 1.6435,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.1529,                0.65283,                 1.5786,                0.97017,                0.93651,                0.97208,                0.66509,                 1.2142,                0.53687,                 1.6799,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.1466,                 0.6572,                  1.573,                0.96417,                0.94603,                  0.977,                0.67799,                 1.2059,                0.54661,                 1.6902,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.1542,                0.65332,                 1.5788,                0.96883,                0.93333,                0.97379,                0.66599,                 1.1796,                0.54366,                 1.6421,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.1455,                 0.6475,                 1.5592,                0.97241,                0.93651,                0.97456,                0.67043,                 1.2104,                 0.5287,                 1.6707,                0.00101,                0.00101,                0.00101
                     78,                 1.1322,                0.64442,                 1.5585,                0.97378,                0.94286,                0.97636,                0.67122,                 1.2199,                0.51725,                 1.6697,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.1275,                0.63738,                 1.5542,                0.97385,                0.94578,                 0.9738,                0.66914,                 1.1917,                 0.5301,                 1.6433,              0.0009836,              0.0009836,              0.0009836
                     80,                  1.134,                0.64033,                 1.5641,                 0.9701,                0.93651,                0.97073,                0.67343,                  1.199,                0.52203,                  1.649,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.1305,                0.63802,                 1.5517,                 0.9745,                0.94286,                0.97803,                0.68011,                 1.1879,                0.49755,                 1.6411,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.1285,                0.64228,                 1.5496,                0.96977,                0.93651,                0.97223,                0.68313,                  1.181,                0.52924,                 1.6326,               0.000944,               0.000944,               0.000944
                     83,                 1.1311,                0.64135,                 1.5473,                 0.9735,                0.93297,                0.97195,                 0.6744,                 1.2037,                0.52582,                 1.6499,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.1236,                0.62977,                 1.5508,                0.98103,                0.92698,                0.97551,                0.67502,                 1.1834,                0.51137,                  1.633,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.1203,                0.62662,                 1.5439,                0.97676,                0.93413,                0.97672,                 0.6785,                 1.1853,                0.51959,                 1.6439,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.1156,                0.62109,                 1.5336,                0.95094,                 0.9619,                0.97211,                 0.6801,                 1.1754,                0.49943,                 1.6367,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.1167,                0.62219,                 1.5405,                0.97274,                0.92698,                0.97216,                0.67944,                  1.194,                0.52682,                 1.6585,               0.000878,               0.000878,               0.000878
                     88,                 1.1226,                0.61892,                 1.5344,                0.95219,                0.94836,                0.97584,                0.67702,                 1.1855,                 0.5162,                 1.6372,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.1142,                0.60502,                 1.5257,                0.97195,                0.93651,                0.97294,                0.67182,                 1.1924,                 0.5025,                 1.6398,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.1042,                0.60968,                 1.5217,                0.96531,                0.94286,                0.97838,                0.68721,                 1.1799,                0.50619,                 1.6411,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.1175,                 0.6208,                 1.5334,                0.96232,                0.93968,                0.97737,                 0.6798,                 1.1803,                0.49254,                   1.64,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.0956,                0.60392,                 1.5117,                0.96853,                0.94603,                0.97592,                0.69043,                  1.152,                 0.4999,                 1.6211,               0.000812,               0.000812,               0.000812
                     93,                 1.0989,                0.61383,                 1.5223,                0.94961,                0.95722,                0.97582,                0.67031,                 1.1951,                0.50895,                 1.6547,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.0968,                0.59991,                 1.5264,                0.95888,                0.94603,                0.97881,                0.67858,                  1.173,                0.50345,                 1.6397,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.0981,                0.61382,                 1.5252,                0.96428,                0.94281,                0.97402,                0.66933,                  1.187,                0.50622,                  1.663,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.0801,                0.58464,                 1.5056,                0.96722,                0.93685,                0.97643,                 0.6722,                 1.1866,                0.50858,                 1.6578,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.0828,                0.60161,                 1.5065,                0.97985,                0.92642,                 0.9724,                0.68368,                 1.1701,                0.50422,                 1.6318,               0.000746,               0.000746,               0.000746
                     98,                 1.0824,                0.59603,                 1.5111,                0.95889,                0.94603,                  0.979,                0.67317,                 1.1866,                0.48833,                 1.6474,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.0712,                 0.5866,                 1.5049,                0.97066,                0.94529,                0.97822,                0.68315,                 1.1823,                0.50043,                 1.6676,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.0682,                0.59443,                 1.4987,                0.97685,                0.93784,                0.97772,                0.67854,                 1.1834,                0.47837,                 1.6527,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.0742,                0.59754,                 1.5083,                0.97468,                0.93651,                0.97578,                0.68862,                 1.1644,                0.49279,                 1.6454,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.0759,                0.59515,                 1.5091,                0.97029,                0.94286,                0.97674,                 0.6895,                 1.1529,                0.49101,                 1.6312,                0.00068,                0.00068,                0.00068
                    103,                  1.064,                0.58643,                 1.4931,                0.96269,                0.94921,                0.97869,                0.67977,                 1.1863,                0.49039,                 1.6603,              0.0006668,              0.0006668,              0.0006668
                    104,                  1.072,                 0.5866,                 1.5019,                0.97066,                0.94527,                0.97777,                0.68256,                 1.1772,                0.49622,                 1.6471,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.0651,                0.58925,                 1.4919,                0.95556,                0.95562,                0.98094,                0.68281,                 1.1713,                0.47664,                  1.643,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.0603,                0.58334,                 1.4864,                0.96667,                0.93968,                0.97938,                0.68148,                 1.1651,                0.48421,                 1.6566,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.0524,                 0.5829,                 1.4844,                0.96722,                0.93685,                0.97791,                0.67835,                 1.1874,                 0.4775,                 1.6538,               0.000614,               0.000614,               0.000614
                    108,                 1.0478,                0.57624,                 1.4841,                0.97077,                0.93968,                0.97594,                0.69148,                 1.1689,                0.49737,                 1.6534,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.0364,                0.57388,                 1.4709,                0.95266,                0.95823,                0.97598,                0.67361,                 1.1966,                0.47526,                 1.6616,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.0457,                0.56539,                  1.478,                0.96742,                0.94265,                0.97673,                0.67997,                  1.181,                0.47669,                 1.6533,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.0537,                 0.5751,                 1.4932,                0.97032,                0.93419,                0.97573,                0.68195,                 1.1787,                0.48278,                 1.6509,              0.0005612,              0.0005612,              0.0005612
                    112,                  1.039,                0.57069,                 1.4787,                0.96796,                0.93651,                0.97952,                0.68843,                 1.1603,                0.47964,                 1.6491,               0.000548,               0.000548,               0.000548
                    113,                 1.0304,                0.56287,                  1.465,                0.96748,                0.94458,                0.97397,                 0.6816,                 1.1777,                0.49713,                  1.656,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.0361,                0.57232,                 1.4723,                0.97073,                0.94764,                0.97497,                0.68683,                 1.1595,                0.48984,                 1.6471,              0.0005216,              0.0005216,              0.0005216
                    115,                  1.031,                0.57421,                  1.468,                 0.9738,                0.93968,                0.97748,                0.68572,                  1.158,                0.48181,                 1.6431,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.0452,                  0.573,                 1.4788,                0.96465,                  0.953,                0.97938,                0.67871,                 1.1897,                0.48269,                 1.6706,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.0433,                0.55936,                 1.4779,                 0.9596,                0.95238,                0.98281,                0.68326,                 1.1993,                 0.4875,                 1.6912,               0.000482,               0.000482,               0.000482
                    118,                 1.0296,                0.56151,                 1.4662,                0.95552,                0.95471,                0.98017,                0.68016,                 1.1903,                0.47266,                 1.6771,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.0173,                0.54691,                  1.452,                0.95806,                0.95556,                0.97916,                 0.6805,                 1.1909,                0.47652,                 1.6839,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.0279,                0.55516,                  1.465,                 0.9708,                0.93651,                0.97867,                0.68487,                 1.1776,                 0.4675,                 1.6722,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.0204,                0.55744,                 1.4539,                0.95276,                0.96508,                0.97362,                0.68355,                 1.1773,                0.47061,                 1.6749,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.0013,                0.55121,                 1.4349,                0.97037,                0.93968,                0.97514,                0.68663,                 1.1642,                0.48537,                 1.6702,               0.000416,               0.000416,               0.000416
