                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.01412,                0.99746,                      1,                0.31543,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01232,                      1,                      1,                0.31412,              0.0002404,              0.0002404,              0.0002404
                     70,                0.01004,                      1,                      1,                0.31607,             0.00023334,             0.00023334,             0.00023334
                     71,                 0.0137,                      1,                      1,                0.31423,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00496,                      1,                      1,                0.31404,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00959,                0.99746,                      1,                0.31577,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00987,                      1,                      1,                0.31443,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00601,                0.99746,                      1,                0.31622,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00709,                      1,                      1,                0.31524,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00678,                      1,                      1,                0.31532,             0.00018385,             0.00018385,             0.00018385
                     78,                0.00398,                      1,                      1,                0.31462,             0.00017679,             0.00017679,             0.00017679
                     79,                0.01073,                      1,                      1,                0.31489,             0.00016972,             0.00016972,             0.00016972
                     80,                0.00395,                      1,                      1,                0.31489,             0.00016265,             0.00016265,             0.00016265
                     81,                0.00657,                      1,                      1,                0.31483,             0.00015558,             0.00015558,             0.00015558
                     82,                0.00473,                0.99746,                      1,                0.31558,             0.00014851,             0.00014851,             0.00014851
                     83,                0.00704,                0.99491,                      1,                0.31789,             0.00014144,             0.00014144,             0.00014144
                     84,                0.00923,                0.99237,                      1,                0.31964,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00576,                0.99746,                      1,                0.31586,             0.00012731,             0.00012731,             0.00012731
                     86,                0.00488,                0.99746,                      1,                0.31596,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00486,                      1,                      1,                0.31468,             0.00011317,             0.00011317,             0.00011317
                     88,                0.00793,                0.99746,                      1,                0.31524,              0.0001061,              0.0001061,              0.0001061
                     89,                0.00754,                0.99746,                      1,                0.31868,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.00686,                0.99746,                      1,                0.31588,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.00482,                0.99746,                      1,                0.31475,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.00512,                0.99746,                      1,                0.31614,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.00738,                0.99746,                      1,                0.31569,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.00704,                0.99746,                      1,                0.31592,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.00699,                0.99746,                      1,                0.31494,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.00588,                0.99746,                      1,                  0.315,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.00421,                0.99746,                      1,                0.31483,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.00346,                0.99746,                      1,                0.31477,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.00842,                0.99746,                      1,                 0.3149,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.00301,                0.99746,                      1,                0.31504,             2.1277e-05,             2.1277e-05,             2.1277e-05
